,,,Auto,Auto,Teleop,Teleop,Teleop,Teleop,,
Team Number,Match,Position,SHOOTING,L1,SHOOTING,L1,L2,L3,Score,Notes
"1,540",53,R2,19.06656536,0,127.343157,0,0,0,146.4097223,
"9,029",54,B2,31.95110276,0,122.7734583,0,0,0,154.724561,
"3,354",54,B3,24.38784331,0,131.8236668,0,0,0,156.2115101,
604,54,R3,66.25060807,0,159.1254892,0,0,0,225.3760972,
"2,052",54,R1,15.70529153,0,116.773205,0,0,0,132.4784966,
"2,996",54,B1,18.66105393,0,41.40287493,10,0,0,70.06392887,intake broke
"5,948",54,R2,28.0441004,0,106.1013058,0,0,0,134.1454062,
"4,099",55,R1,0,0,133.8767816,0,0,0,133.8767816,
"11,463",55,B3,6.294410497,0,10.19333467,0,0,0,16.48774517,
"3,966",55,B2,32.19730688,0,131.6196247,0,0,0,163.8169315,
"1,902",55,R3,0,0,18.66186332,0,0,0,18.66186332,"Crappy intake and slow shooter, fed hps"
88,55,B1,7.508282622,0,130.1870407,0,0,0,137.6953233,
"9,067",55,R2,25,0,129.461355,0,0,0,154.461355,
948,56,R1,2.562190799,0,7.134472688,0,0,0,9.696663488,broken shooter
"9,408",56,B3,0,0,233.3841633,0,0,0,233.3841633,
"7,160",56,B1,0,0,86.13993645,0,0,0,86.13993645,
"6,436",56,B2,102,0,251.4759003,0,0,0,353.4759003,
148,56,R3,38.5915197,0,198.4041526,0,0,0,236.9956723,We↓d be stupid not to pick them
"5,216",56,R2,49.8462895,0,221.4613747,0,0,0,271.3076642,
"9,245",57,R1,24.81968537,0,101.5943911,0,0,0,126.4140765,
424,57,B3,39.34003385,0,22.01058501,0,0,0,61.35061886,
"1,577",57,B1,26.28706176,0,250.8833374,0,0,0,277.1703992,
"10,903",57,B2,15.37290439,0,81.10607759,0,0,0,96.47898198,
"10,979",57,B3,0,0,0,0,0,0,2,"L defense, fed hps"
973,57,R2,49.18031463,0,242.4056089,0,0,0,291.5859235,
"1,922",58,R1,35.11277432,0,213.985314,0,0,0,249.0980883,
"6,036",58,B3,26.20358032,0,223.5239626,0,0,0,249.727543,
"3,276",58,B1,36.08307378,0,249.4760374,0,0,0,285.5591111,
"8,046",58,B2,36.71334591,0,0,0,0,0,36.71334591,
"9,450",58,R3,11.98856476,0,71.94439201,0,0,0,83.93295677,"Good concept, could be really fast if they had someone feeding them, shooter needs fine tuning"
"1,108",58,R2,17.89866092,0,71.07029404,0,0,0,88.96895496,
"4,400",59,R1,0,0,140.804354,0,0,0,140.804354,
695,59,B3,53.08396552,0,173.4521811,0,0,0,226.5361466,
"4,561",59,B1,47.91603448,0,179.5478189,0,0,0,227.4638534,
"6,988",59,B2,0,0,0,0,0,0,2,
"6,352",59,R3,8.691299952,0,76.89069228,0,0,0,85.58199223,"Ok defense, gets bleached easily, can suck up so many balls from the other side"
"4,590",59,R2,43.30870005,0,157.3049537,0,0,0,200.6136538,
"5,414",60,R1,21.14280554,0,18.48503325,0,0,0,39.62783879,
195,60,B3,49.63739065,0,94.06115099,0,0,0,143.6985416,
"1,884",60,B1,0,0,0,0,0,0,2,
"5,736",60,B2,67.36260935,0,188.938849,0,0,0,256.3014584,
868,60,R3,33.48274157,0,182.4195346,0,0,0,215.9022762,"Turret inaccurate, fast"
"1,796",60,R2,57.37445289,0,232.0954321,0,0,0,289.469885,
"6,647",61,R3,62.82448473,0,212.5648128,0,0,0,275.3892975,
"10,935",61,R1,1.091224153,0,0,0,0,0,1.091224153,
"2,910",61,B3,0,0,295.6079128,0,0,0,295.6079128,
"2,586",61,B1,16.64744385,0,63.95649362,0,0,0,80.60393747,
"2,194",61,B2,34.35255615,0,244.4355936,0,0,0,278.7881498,
"4,253",61,R2,13.08429111,0,58.43518723,0,0,0,71.51947834,
"1,833",62,R3,0,0,241.7358785,0,0,0,241.7358785,
"10,291",62,R1,0,0,120.7764007,0,0,0,120.7764007,
"3,044",62,R2,0,0,30.48772084,0,0,0,30.48772084,
"8,373",62,B1,17.50945517,0,146.9956569,0,0,0,164.5051121,
"5,951",62,B3,24.46352014,0,33.83913307,0,0,0,58.30265322,Shooter stopped working
"2,067",62,B2,45.02702468,0,117.16521,0,0,0,162.1922347,
"3,966",63,R3,0,0,63.61271671,0,0,0,63.61271671,"Could not find for auto, re-scout later"
"3,256",63,R1,60.09638953,0,150.6866569,0,0,0,210.7830464,
"9,128",63,B1,0,0,126.7727228,0,0,0,126.7727228,
346,63,B3,55.70012442,0,118.5222779,0,0,0,174.2224024,
"2,783",63,B2,70.29987558,0,80.7049993,0,0,0,151.0048749,
"2,370",63,R2,32.90361047,0,51.7006264,0,0,0,84.60423687,
88,64,R3,17.46817277,0,38.35645932,0,0,0,55.8246321,
"5,216",64,R1,0,0,142.5991929,0,0,0,142.5991929,
"5,549",64,B2,14.39856829,0,35.86068565,0,0,0,50.25925395,
180,64,B1,43.33176545,0,308.1679134,0,0,0,351.4996788,
930,64,R2,64.53182723,0,198.0443478,0,0,0,262.576175,
"2,052",64,B3,56.26966625,0,146.971401,0,0,0,203.2410672,
"1,540",65,R3,20.01681379,0,36.26927021,0,0,0,56.286084,browning out at the end
599,65,R1,54.05466738,0,244.4103481,0,0,0,298.4650155,
687,65,B2,34.05195631,0,199.2263302,0,0,0,233.2782865,
"10,979",65,B1,21.41,0,0,0,0,0,21.41,
604,65,R2,48.92851883,0,166.3203817,0,0,0,215.2489005,
"9,408",65,B3,28.94804369,0,62.24080736,0,0,0,91.18885104,
"7,160",67,R3,5.886048832,0,50.86158498,0,0,0,56.74763381,
